name,last_update,url,path
Miðgildi ráðstöfunartekna eftir því hvort heilsa hamlar daglegu lífi (16-67 ára) 2004-2016,2018-07-09T09:29:43Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/launogtekjur/3_tekjur/2_tekjur_silc/LIF01125.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Laun - Vísitölur launa - Tekjur - Staðgreiðsluskyldar greiðslur - Tekjur - skattframtöl - Ráðstöfunartekjur - lífskjararannsókn 
Laun eftir launþegahópi og kyni 2008-2014,2018-07-06T15:36:22Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/launogtekjur/1_laun/4_launeldra/VIN02011.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Laun - Eldra efni
Laun eftir atvinnugrein (ÍSAT08) og kyni 2008-2014,2018-07-06T15:36:22Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/launogtekjur/1_laun/4_launeldra/VIN02012.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Laun - Eldra efni
Laun fullvinnandi launamanna á almennum vinnumarkaði eftir starfi og kyni 1998-2014,2018-07-06T15:36:22Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/launogtekjur/1_laun/4_launeldra/VIN02013.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Laun - Eldra efni
Laun á almennum vinnumarkaði eftir starfsstétt og kyni 1998-2014,2018-07-06T15:36:22Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/launogtekjur/1_laun/4_launeldra/VIN02014.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Laun - Eldra efni
Laun á almennum vinnumarkaði eftir atvinnugrein (ÍSAT95) og kyni 1998-2011,2018-07-06T15:36:22Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/launogtekjur/1_laun/4_launeldra/VIN02015.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Laun - Eldra efni
Dreifing launa fullvinnandi launamanna eftir launþegahópi 2008-2014,2018-07-06T15:36:22Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/launogtekjur/1_laun/4_launeldra/VIN02016.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Laun - Eldra efni
Dreifing launa fullvinnandi launamanna eftir atvinnugrein (ÍSAT08) 2008-2014,2018-07-06T15:36:22Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/launogtekjur/1_laun/4_launeldra/VIN02017.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Laun - Eldra efni
Dreifing launa fullvinnandi launamanna á almennum vinnumarkaði eftir starfsstétt 1998-2014,2018-07-06T15:36:22Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/launogtekjur/1_laun/4_launeldra/VIN02018.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Laun - Eldra efni
Dreifing launa fullvinnandi launamanna á almennum vinnumarkaði eftir atvinnugrein (ÍSAT95) 1998-2011,2018-07-06T15:36:22Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/launogtekjur/1_laun/4_launeldra/VIN02019.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Laun - Eldra efni
Nemendur í 5 ára bekk 1998-2016    ,2018-07-06T08:59:33Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/skolamal/2_grunnskolastig/0_gsNemendur/SKO02104.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Menning - Miðlun - Menntun - Yfirlit - Leikskólastig - Grunnskólastig - Nemendur
"Nýnemar á framhaldsskólastigi eftir kyni, aldri, tegund náms, bakgrunni og kennsluformi 1997-2017",2018-07-05T08:59:37Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/skolamal/3_framhaldsskolastig/0_fsNemendur/SKO03109.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Menning - Miðlun - Menntun - Yfirlit - Leikskólastig - Grunnskólastig - Framhaldsskóla- og viðbótarstig - Nemendur
"Nýnemar í bóknámi á framhaldsskólastigi eftir kyni, aldri og lögheimili 1997-2017",2018-07-05T08:59:37Z,http://px.hagstofa.is/pxis/api/v1/is/Samfelag/skolamal/3_framhaldsskolastig/0_fsNemendur/SKO03110a.px,Samfelag - Dómsmál - Félagsmál - Heilbrigðismál - Laun og tekjur - Lífskjör - Menning - Miðlun - Menntun - Yfirlit - Leikskólastig - Grunnskólastig - Framhaldsskóla- og viðbótarstig - Nemendur
